pcr_16S_plate,pos,excite_emiss,conc_ngml,conc_ngul,qubit
Plate,Samples,E/E,Conc (ng/ml),Conc (ng/ul),Qubit check
1,A1,100,20.333221611476073,4.0666443222952147,NA
1,A2,113,23.237989900344107,4.6475979800688219,NA
1,A3,60,11.395473030343657,2.2790946060687314,NA
1,A4,91,18.322228180721279,3.6644456361442557,NA
1,A5,38,6.4797113107208295,1.2959422621441659,NA
1,A6,4,-1.1173749832417215,-0.2234749966483443,NA
1,A7,102,20.780109040532693,4.156021808106539,NA
1,A8,66,12.736135317513519,2.5472270635027034,NA
1,A9,46,8.2672610269473115,1.6534522053894625,NA
1,A10,106,21.673883898645933,4.3347767797291867,NA
1,A11,26,3.7983867363811057,0.75967734727622116,NA
1,A12,6,-0.67048755418510086,-0.13409751083702018,NA
1,B1,102,20.780109040532693,4.156021808106539,NA
1,B2,91,18.322228180721279,3.6644456361442557,NA
1,B3,117,24.131764758457347,4.8263529516914687,NA
1,B4,106,21.673883898645933,4.3347767797291867,NA
1,B5,97,19.662890467891142,3.9325780935782282,NA
1,B6,90,18.098784466192967,3.6197568932385931,NA
1,B7,93,18.769115609777899,3.7538231219555795,NA
1,B8,67,12.95957903204183,2.5919158064083661,NA
1,B9,92,18.54567189524959,3.7091343790499178,NA
1,B10,91,18.322228180721279,3.6644456361442557,NA
1,B11,5,-0.89393126871341122,-0.17878625374268226,7
1,B12,102,20.780109040532693,4.156021808106539,NA
1,C1,99,20.109777896947762,4.0219555793895525,NA
1,C2,100,20.333221611476073,4.0666443222952147,NA
1,C3,65,12.512691602985209,2.5025383205970417,NA
1,C4,130,27.036533047325381,5.4073066094650759,NA
1,C5,71,13.85335389015507,2.7706707780310138,NA
1,C6,184,39.102493631854138,7.8204987263708281,NA
1,C7,98,19.88633418241945,3.9772668364838899,NA
1,C8,119,24.578652187513967,4.915730437502793,NA
1,C9,102,20.780109040532693,4.156021808106539,NA
1,C10,106,21.673883898645933,4.3347767797291867,NA
1,C11,78,15.417459891853245,3.0834919783706489,NA
1,C12,158,33.292957054118069,6.6585914108236137,NA
1,D1,105,21.450440184117625,4.2900880368235246,NA
1,D2,109,22.344215042230864,4.4688430084461732,NA
1,D3,54,10.054810743173794,2.0109621486347589,NA
1,D4,137,28.600639049023556,5.720127809804711,NA
1,D5,50,9.1610358850605529,1.8322071770121104,NA
1,D6,9,-1.5641060016984964E-4,-3.1282120033969929E-5,NA
1,D7,99,20.109777896947762,4.0219555793895525,NA
1,D8,209,44.688586495061898,8.9377172990123785,NA
1,D9,81,16.087791035438176,3.2175582070876354,NA
1,D10,120,24.802095902042279,4.9604191804084552,NA
1,D11,54,10.054810743173794,2.0109621486347589,NA
1,D12,8,-0.22360012512848018,-4.4720025025696039E-2,NA
1,E1,76,14.970572462796625,2.994114492559325,NA
1,E2,115,23.684877329400727,4.7369754658801462,NA
1,E3,67,12.95957903204183,2.5919158064083661,NA
1,E4,118,24.355208472985659,4.8710416945971318,NA
1,E5,50,9.1610358850605529,1.8322071770121104,NA
1,E6,147,30.835076194306659,6.1670152388613317,NA
1,E7,112,23.014546185815796,4.6029092371631597,NA
1,E8,62,11.842360459400277,2.3684720918800557,NA
1,E9,79,15.640903606381555,3.1281807212763106,NA
1,E10,104,21.226996469589313,4.2453992939178624,NA
1,E11,49,8.937592170532243,1.7875184341064485,NA
1,E12,231,49.604348214684727,9.9208696429369461,NA
1,F1,111,22.791102471287484,4.5582204942574966,NA
1,F2,145,30.388188765250039,6.0776377530500083,NA
1,F3,77,15.194016177324935,3.0388032354649872,NA
1,F4,125,25.91931447468383,5.183862894936766,NA
1,F5,51,9.3844795995888646,1.8768959199177728,NA
1,F6,131,27.259976761853693,5.451995352370739,NA
1,F7,117,24.131764758457347,4.8263529516914687,NA
1,F8,109,22.344215042230864,4.4688430084461732,NA
1,F9,11,0.4467310184564508,8.9346203691290163E-2,LOST
1,F10,119,24.578652187513967,4.915730437502793,NA
1,F11,38,6.4797113107208295,1.2959422621441659,NA
1,F12,118,24.355208472985659,4.8710416945971318,NA
1,G1,94,18.99255932430621,3.7985118648612417,NA
1,G2,137,28.600639049023556,5.720127809804711,NA
1,G3,82,16.311234749966488,3.262246949993298,NA
1,G4,125,25.91931447468383,5.183862894936766,NA
1,G5,39,6.7031550252491403,1.340631005049828,NA
1,G6,140,29.270970192608484,5.8541940385216966,NA
1,G7,80,15.864347320909866,3.1728694641819732,NA
1,G8,8,-0.22360012512848018,-4.4720025025696039E-2,3.9
1,G9,71,13.85335389015507,2.7706707780310138,NA
1,G10,96,19.43944675336283,3.887889350672566,NA
1,G11,35,5.8093801671358989,1.1618760334271798,NA
1,G12,129,26.813089332797073,5.3626178665594146,NA
1,H1,81,16.087791035438176,3.2175582070876354,NA
1,H2,115,23.684877329400727,4.7369754658801462,NA
1,H3,75,14.747128748268313,2.9494257496536629,NA
1,H4,139,29.047526478080176,5.8095052956160353,NA
1,H5,37,6.2562675961925196,1.2512535192385039,NA
1,H6,10,0.2232873039281405,4.46574607856281E-2,NA
1,H7,127,26.36620190374045,5.2732403807480903,NA
1,H8,100,20.333221611476073,4.0666443222952147,NA
1,H9,61,11.618916744871967,2.3237833489743935,NA
1,H10,88,17.651897037136347,3.5303794074272692,NA
1,H11,46,8.2672610269473115,1.6534522053894625,NA
1,H12,12,0.67017473298476116,0.13403494659695223,NA
2,A1,109,22.344215042230864,4.4688430084461732,NA
2,A2,145,30.388188765250039,6.0776377530500083,NA
2,A3,85,16.981565893551416,3.3963131787102836,NA
2,A4,139,29.047526478080176,5.8095052956160353,NA
2,A5,30,4.6921615944943467,0.93843231889886924,NA
2,A6,6,-0.67048755418510086,-0.13409751083702018,NA
2,A7,116,23.908321043929039,4.7816642087858083,NA
2,A8,144,30.164745050721727,6.0329490101443461,NA
2,A9,80,15.864347320909866,3.1728694641819732,NA
2,A10,122,25.248983331098898,5.0497966662197795,NA
2,A11,39,6.7031550252491403,1.340631005049828,NA
2,A12,6,-0.67048755418510086,-0.13409751083702018,NA
2,B1,121,25.02553961657059,5.0051079233141182,NA
2,B2,174,36.868056486571035,7.3736112973142074,NA
2,B3,150,31.50540733789159,6.3010814675783173,NA
2,B4,115,23.684877329400727,4.7369754658801462,NA
2,B5,99,20.109777896947762,4.0219555793895525,NA
2,B6,118,24.355208472985659,4.8710416945971318,NA
2,B7,104,21.226996469589313,4.2453992939178624,NA
2,B8,161,33.963288197703001,6.7926576395406002,NA
2,B9,118,24.355208472985659,4.8710416945971318,NA
2,B10,129,26.813089332797073,5.3626178665594146,NA
2,B11,126,26.142758189212142,5.2285516378424282,NA
2,B12,105,21.450440184117625,4.2900880368235246,NA
2,C1,116,23.908321043929039,4.7816642087858083,NA
2,C2,158,33.292957054118069,6.6585914108236137,NA
2,C3,149,31.281963623363279,6.2563927246726561,NA
2,C4,118,24.355208472985659,4.8710416945971318,NA
2,C5,95,19.216003038834522,3.8432006077669043,NA
2,C6,161,33.963288197703001,6.7926576395406002,NA
2,C7,141,29.494413907136796,5.8988827814273597,NA
2,C8,155,32.622625910533138,6.5245251821066272,NA
2,C9,127,26.36620190374045,5.2732403807480903,NA
2,C10,124,25.695870760155522,5.1391741520311038,NA
2,C11,92,18.54567189524959,3.7091343790499178,NA
2,C12,170,35.974281628457796,7.1948563256915596,NA
2,D1,129,26.813089332797073,5.3626178665594146,NA
2,D2,168,35.527394199401172,7.1054788398802344,NA
2,D3,118,24.355208472985659,4.8710416945971318,NA
2,D4,128,26.589645618268761,5.3179291236537525,NA
2,D5,51,9.3844795995888646,1.8768959199177728,NA
2,D6,9,-1.5641060016984964E-4,-3.1282120033969929E-5,NA
2,D7,118,24.355208472985659,4.8710416945971318,NA
2,D8,178,37.761831344684282,7.5523662689368569,NA
2,D9,115,23.684877329400727,4.7369754658801462,NA
2,D10,125,25.91931447468383,5.183862894936766,NA
2,D11,67,12.95957903204183,2.5919158064083661,NA
2,D12,8,-0.22360012512848018,-4.4720025025696039E-2,NA
2,E1,138,28.824082763551864,5.7648165527103732,NA
2,E2,155,32.622625910533138,6.5245251821066272,NA
2,E3,96,19.43944675336283,3.887889350672566,NA
2,E4,118,24.355208472985659,4.8710416945971318,NA
2,E5,54,10.054810743173794,2.0109621486347589,NA
2,E6,134,27.930307905438625,5.5860615810877245,NA
2,E7,120,24.802095902042279,4.9604191804084552,NA
2,E8,98,19.88633418241945,3.9772668364838899,NA
2,E9,99,20.109777896947762,4.0219555793895525,NA
2,E10,124,25.695870760155522,5.1391741520311038,NA
2,E11,27,4.021830450909416,0.80436609018188321,NA
2,E12,9,-1.5641060016984964E-4,-3.1282120033969929E-5,9.56
2,F1,90,18.098784466192967,3.6197568932385931,NA
2,F2,152,31.95229476694821,6.3904589533896425,NA
2,F3,95,19.216003038834522,3.8432006077669043,NA
2,F4,130,27.036533047325381,5.4073066094650759,NA
2,F5,48,8.7141484560039331,1.7428296912007863,NA
2,F6,90,18.098784466192967,3.6197568932385931,NA
2,F7,99,20.109777896947762,4.0219555793895525,NA
2,F8,101,20.556665326004381,4.1113330652008759,NA
2,F9,87,17.428453322608039,3.4856906645216075,NA
2,F10,106,21.673883898645933,4.3347767797291867,NA
2,F11,7,-0.44704383965679051,-8.9408767931358102E-2,2.6
2,F12,112,23.014546185815796,4.6029092371631597,NA
2,G1,131,27.259976761853693,5.451995352370739,NA
2,G2,142,29.717857621665107,5.9435715243330218,NA
2,G3,82,16.311234749966488,3.262246949993298,NA
2,G4,117,24.131764758457347,4.8263529516914687,NA
2,G5,36,6.0328238816642088,1.2065647763328418,NA
2,G6,173,36.644612772042727,7.3289225544085461,NA
2,G7,130,27.036533047325381,5.4073066094650759,NA
2,G8,131,27.259976761853693,5.451995352370739,NA
2,G9,77,15.194016177324935,3.0388032354649872,NA
2,G10,115,23.684877329400727,4.7369754658801462,NA
2,G11,41,7.150042454305761,1.4300084908611521,NA
2,G12,134,27.930307905438625,5.5860615810877245,NA
2,H1,103,21.003552755061005,4.2007105510122011,NA
2,H2,100,20.333221611476073,4.0666443222952147,NA
2,H3,91,18.322228180721279,3.6644456361442557,NA
2,H4,127,26.36620190374045,5.2732403807480903,NA
2,H5,33,5.3624927380792782,1.0724985476158557,NA
2,H6,34,5.5859364526075881,1.1171872905215177,TOO LOW
2,H7,100,20.333221611476073,4.0666443222952147,NA
2,H8,103,21.003552755061005,4.2007105510122011,NA
2,H9,52,9.6079233141171745,1.9215846628234348,NA
2,H10,109,22.344215042230864,4.4688430084461732,NA
2,H11,31,4.9156053090226575,0.9831210618045314,NA
2,H12,9,-1.5641060016984964E-4,-3.1282120033969929E-5,NA
